Locality_Number,Outbreak_Years,Latitude,Longitude,Zone,Locality_Name,Recurrence_Level,Fjord_Position,Is_Persistent,Distance_to_Salmon_River_km,Nearest_Salmon_River,River_Zone,Salmon_Index,Trout_Score,Salmon_Distance_Category,Salmon_Pressure,Trout_Pressure
34357,6,68.970535,15.264783,Zone 4: Northern (66-69°N),Gisløy Nø,Recurrent (6-8 years),Inner Fjord,False,129.6,Målselva,Zone 4,95,3,Far from Salmon River (>100km),Very High Salmon Pressure,High Sea Trout
34397,5,60.861485,4.964867,Zone 2: Western (60-63°N),Hyseneset,Occasional (3-5 years),Mid-Fjord,False,75.0,Gaula (Sunnfjord),Zone 2,70,2,Moderate (50-100km),Moderate Salmon Pressure,Medium Sea Trout
34457,4,70.01058,19.666616,Zone 5: Arctic (69-71°N),Langås,Occasional (3-5 years),Mid-Fjord,False,101.5,Reisa,Zone 4,80,2,Far from Salmon River (>100km),High Salmon Pressure,Medium Sea Trout
34477,4,64.389565,10.512533,Zone 3: Mid (63-66°N),Nausttaren,Occasional (3-5 years),Mid-Fjord,False,49.1,Namsen,Zone 4,100,3,Close to Salmon River (20-50km),Very High Salmon Pressure,High Sea Trout
34537,0,60.05005,5.794033,Zone 2: Western (60-63°N),Nystølvågen II,Sporadic (0-2 years),Mid-Fjord,False,53.0,Etneelva,Zone 2,75,2,Moderate (50-100km),High Salmon Pressure,Medium Sea Trout
34577,2,70.56365,24.119066,Zone 5: Arctic (69-71°N),Enkeneset,Sporadic (0-2 years),Mid-Fjord,False,59.4,Børselva,Zone 5,75,1,Moderate (50-100km),High Salmon Pressure,Low Sea Trout
34597,1,63.76718,8.908517,Zone 3: Mid (63-66°N),Seiballskjæret,Sporadic (0-2 years),Mid-Fjord,False,68.4,Orkla,Zone 3,95,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
34617,2,63.47635,7.951517,Zone 3: Mid (63-66°N),Gråøya,Sporadic (0-2 years),Mid-Fjord,False,74.5,Surna,Zone 3,80,2,Moderate (50-100km),High Salmon Pressure,Medium Sea Trout
34637,3,68.66638,14.914717,Zone 4: Northern (66-69°N),Langholmen N,Occasional (3-5 years),Inner Fjord,False,149.2,Målselva,Zone 4,95,3,Far from Salmon River (>100km),Very High Salmon Pressure,High Sea Trout
34657,4,60.750233,5.29845,Zone 2: Western (60-63°N),Laberget,Occasional (3-5 years),Mid-Fjord,False,62.5,Vosso,Zone 2,100,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
34677,3,63.3095,8.115567,Zone 3: Mid (63-66°N),Hestøya,Occasional (3-5 years),Mid-Fjord,False,54.4,Surna,Zone 3,80,2,Moderate (50-100km),High Salmon Pressure,Medium Sea Trout
34697,0,70.774765,27.2185,Zone 5: Arctic (69-71°N),Øyra,Sporadic (0-2 years),Mid-Fjord,False,73.8,Tana,Zone 5,100,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
34717,0,68.13462,13.867217,Zone 4: Northern (66-69°N),Eidisholman,Sporadic (0-2 years),Inner Fjord,False,132.5,Saltdalselva,Zone 4,85,2,Far from Salmon River (>100km),High Salmon Pressure,Medium Sea Trout
34737,0,59.432583,5.106567,Zone 1: Southern (58-60°N),Ulvøyo,Sporadic (0-2 years),Mid-Fjord,False,59.3,Etneelva,Zone 2,75,2,Moderate (50-100km),High Salmon Pressure,Medium Sea Trout
34797,0,64.95078,12.0567,Zone 3: Mid (63-66°N),Kalvhagan II,Sporadic (0-2 years),Mid-Fjord,False,56.8,Namsen,Zone 4,100,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
34857,9,63.90485,8.589133,Zone 3: Mid (63-66°N),Salatskjæra,Persistent (9-10 years),Mid-Fjord,True,90.3,Orkla,Zone 3,95,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
34897,4,64.22307,10.279933,Zone 3: Mid (63-66°N),Brandsfjorden,Occasional (3-5 years),Mid-Fjord,False,66.5,Namsen,Zone 4,100,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
34917,1,65.249435,12.815283,Zone 3: Mid (63-66°N),Tosen,Sporadic (0-2 years),Mid-Fjord,False,63.9,Vefsna,Zone 4,95,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
34997,2,67.4164,14.428667,Zone 4: Northern (66-69°N),Bjørnøya,Sporadic (0-2 years),Inner Fjord,False,50.7,Beiarvassdraget,Zone 4,75,2,Moderate (50-100km),High Salmon Pressure,Medium Sea Trout
35197,1,64.9848,11.135467,Zone 3: Mid (63-66°N),Hjortøya,Sporadic (0-2 years),Mid-Fjord,False,56.8,Namsen,Zone 4,100,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
35237,2,69.4334,18.153482,Zone 5: Arctic (69-71°N),Durmålsvika,Sporadic (0-2 years),Mid-Fjord,False,50.3,Målselva,Zone 4,95,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
35297,1,58.91455,6.028583,Zone 1: Southern (58-60°N),Ådnøy Sø,Sporadic (0-2 years),Mid-Fjord,False,70.6,Suldalslågen,Zone 2,95,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
35317,5,69.00265,17.440567,Zone 5: Arctic (69-71°N),Litjevika,Occasional (3-5 years),Inner Fjord,False,42.4,Målselva,Zone 4,95,3,Close to Salmon River (20-50km),Very High Salmon Pressure,High Sea Trout
35318,3,69.0188,17.520067,Zone 5: Arctic (69-71°N),Sortevika,Occasional (3-5 years),Inner Fjord,False,39.2,Målselva,Zone 4,95,3,Close to Salmon River (20-50km),Very High Salmon Pressure,High Sea Trout
35337,1,69.896866,18.486267,Zone 5: Arctic (69-71°N),Småvær,Sporadic (0-2 years),Mid-Fjord,False,100.1,Målselva,Zone 4,95,3,Far from Salmon River (>100km),Very High Salmon Pressure,High Sea Trout
35377,2,63.82503,8.444633,Zone 3: Mid (63-66°N),Kveitskjeret,Sporadic (0-2 years),Mid-Fjord,False,89.2,Orkla,Zone 3,95,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
35417,9,67.7382,14.75345,Zone 4: Northern (66-69°N),Sandøya,Persistent (9-10 years),Inner Fjord,True,76.4,Saltdalselva,Zone 4,85,2,Moderate (50-100km),High Salmon Pressure,Medium Sea Trout
35477,4,64.54919,10.7341,Zone 3: Mid (63-66°N),Makrellskjæret,Occasional (3-5 years),Mid-Fjord,False,37.2,Namsen,Zone 4,100,3,Close to Salmon River (20-50km),Very High Salmon Pressure,High Sea Trout
35497,1,60.08077,5.192033,Zone 2: Western (60-63°N),Drøno,Sporadic (0-2 years),Mid-Fjord,False,73.9,Etneelva,Zone 2,75,2,Moderate (50-100km),High Salmon Pressure,Medium Sea Trout
35517,5,60.695,4.761117,Zone 2: Western (60-63°N),Vadholmen,Occasional (3-5 years),Mid-Fjord,False,90.3,Vosso,Zone 2,100,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
35597,2,69.91572,20.601418,Zone 5: Arctic (69-71°N),Follesøy,Sporadic (0-2 years),Mid-Fjord,False,73.9,Reisa,Zone 4,80,2,Moderate (50-100km),High Salmon Pressure,Medium Sea Trout
35617,0,67.14543,14.281183,Zone 4: Northern (66-69°N),Mulnesodden,Sporadic (0-2 years),Inner Fjord,False,31.4,Beiarvassdraget,Zone 4,75,2,Close to Salmon River (20-50km),High Salmon Pressure,Medium Sea Trout
35657,5,63.635715,9.186467,Zone 3: Mid (63-66°N),Varden,Occasional (3-5 years),Mid-Fjord,False,48.3,Orkla,Zone 3,95,3,Close to Salmon River (20-50km),Very High Salmon Pressure,High Sea Trout
35677,3,68.4885,15.125917,Zone 4: Northern (66-69°N),Brottøy,Occasional (3-5 years),Inner Fjord,False,148.0,Målselva,Zone 4,95,3,Far from Salmon River (>100km),Very High Salmon Pressure,High Sea Trout
35697,0,63.47025,8.679067,Zone 3: Mid (63-66°N),Dyrvikholman,Sporadic (0-2 years),Mid-Fjord,False,59.2,Orkla,Zone 3,95,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
35737,0,65.44133,12.44435,Zone 3: Mid (63-66°N),Sæterosen,Sporadic (0-2 years),Mid-Fjord,False,53.0,Vefsna,Zone 4,95,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
35777,4,66.1008,12.157333,Zone 4: Northern (66-69°N),Kvitskjæret,Occasional (3-5 years),Inner Fjord,False,58.1,Vefsna,Zone 4,95,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
35797,1,65.00819,11.746417,Zone 3: Mid (63-66°N),Årsetfjorden,Sporadic (0-2 years),Mid-Fjord,False,57.9,Namsen,Zone 4,100,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
35817,4,67.18557,14.388433,Zone 4: Northern (66-69°N),Storevika,Occasional (3-5 years),Inner Fjord,False,30.4,Beiarvassdraget,Zone 4,75,2,Close to Salmon River (20-50km),High Salmon Pressure,Medium Sea Trout
