Locality_Number,Outbreak_Years,Latitude,Longitude,Zone,Locality_Name,Recurrence_Level,Fjord_Position,Is_Persistent,Distance_to_Port_km,Nearest_Port,Port_Size,Port_Traffic,Distance_to_Lane_km,Nearest_Lane,Lane_Traffic,Vessel_Score,Port_Distance_Category,Lane_Distance_Category,Vessel_Traffic_Level
29557,4,70.482,23.633533,Zone 5: Arctic (69-71°N),Komagnes,Occasional (3-5 years),Mid-Fjord,False,24.4,Hammerfest,medium,45,93.5,Tromsø-Hammerfest,60,2.5,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
29576,1,67.5125,15.5685,Zone 4: Northern (66-69°N),Kalvik,Sporadic (0-2 years),Inner Fjord,False,55.4,Bodø,major,80,114.8,Bodø-Tromsø,75,1.3,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
29596,1,70.885414,25.495117,Zone 5: Arctic (69-71°N),Misjona,Sporadic (0-2 years),Mid-Fjord,False,22.4,Honningsvåg,small,20,91.6,Hammerfest-Kirkenes,50,2.7,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
29656,6,61.104767,5.018483,Zone 2: Western (60-63°N),Juvika,Recurrent (6-8 years),Mid-Fjord,False,55.2,Florø,medium,45,54.9,Bergen-Ålesund,90,1.8,Moderate (50-100km),Moderate (30-60km),Minimal Vessel Traffic
29697,6,63.3667,9.245217,Zone 3: Mid (63-66°N),Hafsmo,Recurrent (6-8 years),Mid-Fjord,False,57.9,Trondheim,major,95,66.5,Ålesund-Trondheim,85,1.6,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
29756,7,69.48227,17.57155,Zone 5: Arctic (69-71°N),Indre Bringenes,Recurrent (6-8 years),Inner Fjord,False,57.3,Tromsø,major,85,120.3,Bodø-Tromsø,75,1.3,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
29776,4,66.868416,13.601383,Zone 4: Northern (66-69°N),Teksmona,Occasional (3-5 years),Inner Fjord,False,59.3,Bodø,major,80,177.8,Trondheim-Bodø,80,1.1,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
29816,4,60.145584,6.120467,Zone 2: Western (60-63°N),Apalvikneset,Occasional (3-5 years),Mid-Fjord,False,53.5,Bergen,major,100,65.2,Stavanger-Bergen,100,1.7,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
29876,2,64.52398,10.761667,Zone 3: Mid (63-66°N),Flotaren,Sporadic (0-2 years),Mid-Fjord,False,35.6,Namsos,small,25,120.3,Trondheim-Bodø,80,1.8,Close to Port (20-50km),Far from Lane (>60km),Minimal Vessel Traffic
29896,2,63.176167,8.616817,Zone 3: Mid (63-66°N),Renndalen,Sporadic (0-2 years),Mid-Fjord,False,47.0,Kristiansund,medium,60,29.9,Ålesund-Trondheim,85,2.7,Close to Port (20-50km),Near Lane (10-30km),Low Vessel Traffic
29936,8,59.977932,5.77565,Zone 1: Southern (58-60°N),Ystadneset,Recurrent (6-8 years),Mid-Fjord,False,53.9,Bergen,major,100,39.7,Stavanger-Bergen,100,2.1,Moderate (50-100km),Moderate (30-60km),Low Vessel Traffic
